loglik,beta0,alpha_i0_1,alpha_i0_2,acceptance_beta0,acceptance_alpha_i0_1,acceptance_alpha_i0_2
-589.02,1.14383,4.25321e-05,0.000239322,0.209839,0.222788,0.229685
-588.298,1.14757,4.05587e-05,0.000226119,0.21003,0.222625,0.229495
-587.911,1.14661,4.09306e-05,0.000226925,0.210296,0.222539,0.229345
-588.438,1.14224,4.2931e-05,0.000236812,0.210333,0.222454,0.229385
-590.912,1.14513,4.2692e-05,0.000241242,0.210143,0.222482,0.229312
-589.771,1.1484,4.08516e-05,0.000227248,0.21018,0.222285,0.229315
-587.829,1.14632,4.09644e-05,0.000227059,0.210104,0.222164,0.229729
-590.267,1.14089,4.28794e-05,0.000239023,0.20988,0.222156,0.229768
-588.786,1.14656,4.06297e-05,0.000221653,0.209844,0.221888,0.229397
-589.46,1.14268,4.34152e-05,0.000238961,0.209992,0.221918,0.229325
-589.066,1.14856,4.04205e-05,0.000224487,0.209955,0.221948,0.229254
-588.173,1.14674,4.10241e-05,0.000226299,0.209808,0.222382,0.229293
-589.644,1.14708,4.01919e-05,0.000226822,0.209919,0.222519,0.229076
-587.939,1.14522,4.14567e-05,0.000231488,0.209956,0.222656,0.229006
-588.196,1.14746,4.04368e-05,0.000224817,0.209811,0.222756,0.22901
-588.289,1.14594,4.06328e-05,0.000223728,0.210101,0.222709,0.228869
-589.222,1.1445,4.25653e-05,0.000233648,0.209776,0.22288,0.228837
-589.918,1.1426,4.36056e-05,0.000243217,0.210028,0.222798,0.228589
-588.718,1.14513,4.18538e-05,0.000228561,0.210208,0.222429,0.228594
-589.204,1.14094,4.33773e-05,0.000239581,0.209993,0.222313,0.228563
-594.339,1.14003,4.41063e-05,0.000234744,0.210206,0.222376,0.22864
-589.117,1.14451,4.1894e-05,0.000236608,0.210063,0.222226,0.228503
-589.051,1.14754,4.07559e-05,0.000229771,0.210134,0.222289,0.228508
-589.573,1.14637,4.03226e-05,0.000219146,0.210133,0.222457,0.228407
-590.268,1.14598,4.0101e-05,0.000218347,0.210168,0.222378,0.228273
-588.357,1.14413,4.14225e-05,0.000229926,0.209923,0.22244,0.228384
-588.567,1.14453,4.23289e-05,0.00023698,0.209714,0.222396,0.228285
-587.774,1.14557,4.14178e-05,0.000228823,0.209784,0.222562,0.228082
-593.564,1.14885,4.11933e-05,0.000225711,0.209647,0.222518,0.228227
-589.217,1.14832,4.04809e-05,0.000227702,0.209579,0.222441,0.228302
-588.949,1.14398,4.22428e-05,0.000237967,0.20958,0.222157,0.22824
-588.699,1.14302,4.18555e-05,0.00022979,0.209616,0.222218,0.22804
-588.23,1.14716,4.06037e-05,0.000223753,0.209583,0.222108,0.228081
-587.789,1.1454,4.11737e-05,0.000227473,0.209517,0.221931,0.228019
-589.654,1.14531,4.08239e-05,0.000230007,0.209349,0.221992,0.227924
-587.817,1.14414,4.19931e-05,0.000231562,0.209621,0.22202,0.227931
-588.829,1.14757,4.03454e-05,0.000220972,0.209454,0.22208,0.227905
-588.407,1.14701,4.03578e-05,0.000225337,0.209355,0.221771,0.227979
-588.741,1.14212,4.28714e-05,0.000238784,0.209358,0.221899,0.228019
-587.747,1.1456,4.11708e-05,0.000227917,0.209193,0.221993,0.228026
-592.184,1.13964,4.44274e-05,0.000239729,0.209229,0.222119,0.227866
-592.072,1.1391,4.50746e-05,0.000246853,0.209198,0.222079,0.228171
-587.879,1.14465,4.19441e-05,0.000233393,0.209399,0.221907,0.22821
-589.055,1.14332,4.15648e-05,0.000230522,0.209368,0.221703,0.227953
-587.927,1.14647,4.09173e-05,0.000227886,0.2096,0.221567,0.228058
-588.056,1.14319,4.24706e-05,0.00023541,0.209503,0.221431,0.22764
-589.711,1.14489,4.08106e-05,0.000228849,0.209505,0.221165,0.227615
-588.674,1.1418,4.30493e-05,0.000236839,0.209701,0.221259,0.227493
-588.62,1.14415,4.20672e-05,0.000236427,0.209734,0.221384,0.227404
-588.36,1.14525,4.18138e-05,0.000234512,0.209993,0.22167,0.227444
-589.362,1.14076,4.34429e-05,0.000238627,0.21009,0.221472,0.22726
-587.901,1.14502,4.12072e-05,0.000227914,0.210442,0.221499,0.227204
-588.236,1.14651,4.09163e-05,0.000229263,0.210536,0.221622,0.227341
-589.77,1.14754,3.9541e-05,0.000218216,0.210471,0.221808,0.227381
-587.787,1.14467,4.15258e-05,0.000229086,0.210279,0.221866,0.227104
-589.269,1.14363,4.22781e-05,0.000238542,0.21031,0.22186,0.22705
-588.019,1.14332,4.21641e-05,0.000232332,0.210467,0.22198,0.227217
-588.416,1.14403,4.2542e-05,0.000237098,0.210402,0.222037,0.227288
-588.571,1.14247,4.27557e-05,0.000238246,0.21037,0.222093,0.227297
-592.595,1.14138,4.4081e-05,0.000237553,0.210306,0.222118,0.22718
-589.392,1.14437,4.16905e-05,0.000235567,0.210274,0.222111,0.227158
-588.258,1.14427,4.13453e-05,0.000227894,0.210242,0.222198,0.227322
-591.174,1.14769,3.97678e-05,0.000225846,0.210086,0.222191,0.227299
-589.106,1.14674,4.02559e-05,0.000225828,0.210024,0.222308,0.227153
-592.153,1.14798,4.1665e-05,0.000234662,0.210055,0.222332,0.226978
-588.512,1.14494,4.17811e-05,0.000234924,0.210086,0.222355,0.227048
-588.91,1.14164,4.32265e-05,0.000237081,0.210055,0.222379,0.22721
-588.289,1.1448,4.11098e-05,0.000225946,0.210298,0.222402,0.227463
-587.847,1.14594,4.13107e-05,0.000229841,0.210176,0.222303,0.227318
-589.131,1.1447,4.2479e-05,0.000233493,0.210297,0.222175,0.227387
-592.504,1.14146,4.43717e-05,0.0002412,0.210175,0.222169,0.227244
-588.016,1.14517,4.12639e-05,0.000226381,0.210054,0.222162,0.227343
-589.108,1.14226,4.21341e-05,0.000232389,0.209994,0.222276,0.22714
-589.502,1.14171,4.29903e-05,0.000240809,0.209844,0.222149,0.227179
-588.37,1.14662,4.1288e-05,0.000230816,0.209815,0.222113,0.226978
-588.32,1.14413,4.22549e-05,0.00023157,0.209756,0.221987,0.227017
-589.128,1.14153,4.35584e-05,0.000241211,0.209816,0.222071,0.227174
-588.563,1.14341,4.28466e-05,0.000238304,0.209935,0.222094,0.227153
-588.804,1.14214,4.32636e-05,0.000238213,0.210053,0.222058,0.22722
-588.511,1.14407,4.24752e-05,0.000237587,0.209994,0.222229,0.227082
-589.763,1.14417,4.27757e-05,0.000241051,0.210111,0.222252,0.227266
-588.954,1.14827,3.9692e-05,0.0002196,0.210082,0.22207,0.227362
-587.901,1.14638,4.0945e-05,0.000227958,0.21011,0.222209,0.227603
-590.569,1.14943,4.04433e-05,0.000226692,0.210081,0.222116,0.227581
-589.476,1.14724,3.97231e-05,0.000219079,0.209994,0.222225,0.227588
-589.055,1.14639,4.01354e-05,0.000222108,0.209907,0.222103,0.227392
-589.535,1.14376,4.24213e-05,0.000229941,0.210052,0.222097,0.227256
-590.967,1.13939,4.40787e-05,0.000239837,0.209879,0.222063,0.227091
-590.057,1.14425,4.18194e-05,0.00023733,0.209736,0.222085,0.227128
-588.481,1.14598,4.09694e-05,0.000223731,0.209823,0.222051,0.227165
-589.728,1.14117,4.31211e-05,0.000234353,0.209909,0.222159,0.227116
-589.396,1.14371,4.30852e-05,0.000239437,0.209767,0.222465,0.227067
